glacier_id,glacier_na,glims_id,wgi_id,rgi_id,nhd_id,gnis_id,recno,parent_ice,glac_status
G241431E37125N,CA,G241431E37125N,US2L00215007,RGI60-02.15177,77318728, ,,,exists
G241211E37123N,CA,G241211E37123N,,RGI60-02.15178,,,,,exists
G241265E37123N,CA,G241265E37123N,,RGI60-02.15179,77258633, ,,,exists
G241439E37127N,CA,G241439E37127N,,RGI60-02.15180,77318726, ,,,exists
G241421E37127N,CA,G241421E37127N,,RGI60-02.15181,77318718, ,,,exists
G241464E37128N,CA,G241464E37128N,,RGI60-02.15182,77318738, ,,,exists
G241471E37129N,CA,G241471E37129N,,RGI60-02.15183,77318734, ,,,exists
G241409E37130N,CA,G241409E37130N,,RGI60-02.15184,33994591, ,,,exists
G241344E37130N,CA,G241344E37130N,,RGI60-02.15185,33994555, ,,,exists
G241414E37131N,CA,G241414E37131N,,RGI60-02.15186,77318712, ,2.02E+11,,exists
G241325E37132N,CA,G241325E37132N,,RGI60-02.15187,77258639, ,2.02E+11,,exists
G241323E37131N,Mount Warlow Glacier CA,G241323E37131N,,RGI60-02.15188,77258635, ,2.02E+11,,exists
G241382E37135N,CA,G241382E37135N,,RGI60-02.15189,33994567, ,,,exists
G241412E37136N,CA,G241412E37136N,,RGI60-02.15190,77318704, ,,,exists
G241379E37137N,CA,G241379E37137N,,RGI60-02.15191,33994559, ,,,exists
G241342E37137N,CA,G241342E37137N,,RGI60-02.15192,33994537, ,,,exists
G241379E37138N,CA,G241379E37138N,,RGI60-02.15193,33994551, ,,,exists
G241357E37139N,CA,G241357E37139N,,RGI60-02.15194,77318662, ,,,exists
G241334E37139N,Mount Fiske Glacier CA,G241334E37139N,US2K04457005,RGI60-02.15195,77258625, ,,,exists
G241338E37140N,CA,G241338E37140N,,RGI60-02.15196,77258629, ,,,exists
G241402E37139N,CA,G241402E37139N,US2L00215010,RGI60-02.15197,77318688, ,2.02E+11,,exists
G241350E37142N,CA,G241350E37142N,,RGI60-02.15198,77318646, ,,,exists
G241317E37141N,CA,G241317E37141N,US2K04457007,RGI60-02.15199,77258623, ,,,exists
G241341E37142N,CA,G241341E37142N,,RGI60-02.15200,77258627, ,,,exists
G241354E37142N,CA,G241354E37142N,,RGI60-02.15201,77318648, ,,,exists
G241264E37141N,CA,G241264E37141N,,RGI60-02.15202,77258617, ,,,exists
G241370E37140N,Powell Glacier CA,G241370E37140N,US2L00215015,RGI60-02.15203,77318664, ,2.02E+11,,exists
G241394E37142N,CA,G241394E37142N,US2L00215011,RGI60-02.15204,77318678, ,2.02E+11,,exists
G241364E37141N,CA,G241364E37141N,,RGI60-02.15205,77318652, ,,,exists
G241348E37143N,CA,G241348E37143N,US2L00215018,RGI60-02.15206,77318630, ,,,exists
G241258E37143N,CA,G241258E37143N,,RGI60-02.15207,77258615, ,,,exists
G241394E37148N,CA,G241394E37148N,,RGI60-02.15208,77318658, ,,,exists
G241377E37147N,CA,G241377E37147N,US2L00215014,RGI60-02.15209,77318636, ,,,exists
G241251E37147N,CA,G241251E37147N,,RGI60-02.15210,77258607, ,,,exists
G241254E37147N,CA,G241254E37147N,,RGI60-02.15211,77258609, ,,,exists
